date;value3(Ko);value4(req)
2018/01/04:19:16:52;15195.00000000;-15260.00000000
2018/01/04:19:16:53;15210.00000000;-15280.00000000
2018/01/04:19:16:54;15225.00000000;-15300.00000000
2018/01/04:19:16:55;15240.00000000;-15320.00000000
2018/01/04:19:16:56;15255.00000000;-15340.00000000
2018/01/04:19:16:57;15270.00000000;-15360.00000000
2018/01/04:19:16:58;15285.00000000;-15380.00000000
2018/01/04:19:16:59;15300.00000000;-15400.00000000
2018/01/04:19:17:00;15315.00000000;-15420.00000000
2018/01/04:19:17:01;15330.00000000;-15440.00000000
2018/01/04:19:17:02;15345.00000000;-15460.00000000
2018/01/04:19:17:03;15360.00000000;-15480.00000000
2018/01/04:19:17:04;15375.00000000;-15500.00000000
2018/01/04:19:17:05;15390.00000000;-15520.00000000
2018/01/04:19:17:06;15405.00000000;-15540.00000000
2018/01/04:19:17:07;15420.00000000;-15560.00000000
2018/01/04:19:17:08;15435.00000000;-15580.00000000
2018/01/04:19:17:09;15450.00000000;-15600.00000000
2018/01/04:19:17:10;15465.00000000;-15620.00000000
2018/01/04:19:17:11;15480.00000000;-15640.00000000
2018/01/04:19:17:12;15495.00000000;-15660.00000000
2018/01/04:19:17:13;15510.00000000;-15680.00000000
2018/01/04:19:17:14;15525.00000000;-15700.00000000
2018/01/04:19:17:15;15540.00000000;-15720.00000000
2018/01/04:19:17:16;15555.00000000;-15740.00000000
2018/01/04:19:17:17;15570.00000000;-15760.00000000
2018/01/04:19:17:18;15585.00000000;-15780.00000000
2018/01/04:19:17:19;15600.00000000;-15800.00000000
2018/01/04:19:17:20;15615.00000000;-15820.00000000
2018/01/04:19:17:21;15630.00000000;-15840.00000000
2018/01/04:19:17:22;15645.00000000;-15860.00000000
2018/01/04:19:17:23;15660.00000000;-15880.00000000
2018/01/04:19:17:24;15675.00000000;-15900.00000000
2018/01/04:19:17:25;15690.00000000;-15920.00000000
2018/01/04:19:17:26;15705.00000000;-15940.00000000
2018/01/04:19:17:27;15720.00000000;-15960.00000000
2018/01/04:19:17:28;15735.00000000;-15980.00000000
2018/01/04:19:17:29;15750.00000000;-16000.00000000
2018/01/04:19:17:30;15765.00000000;-16020.00000000
2018/01/04:19:17:31;15780.00000000;-16040.00000000
2018/01/04:19:17:32;15795.00000000;-16060.00000000
2018/01/04:19:17:33;15810.00000000;-16080.00000000
2018/01/04:19:17:34;15825.00000000;-16100.00000000
2018/01/04:19:17:35;15840.00000000;-16120.00000000
2018/01/04:19:17:36;15855.00000000;-16140.00000000
2018/01/04:19:17:37;15870.00000000;-16160.00000000
2018/01/04:19:17:38;15885.00000000;-16180.00000000
2018/01/04:19:17:39;15900.00000000;-16200.00000000
2018/01/04:19:17:40;15915.00000000;-16220.00000000
2018/01/04:19:17:41;15930.00000000;-16240.00000000
2018/01/04:19:17:42;15945.00000000;-16260.00000000
2018/01/04:19:17:43;15960.00000000;-16280.00000000
2018/01/04:19:17:44;15975.00000000;-16300.00000000
2018/01/04:19:17:45;15990.00000000;-16320.00000000
2018/01/04:19:17:46;16005.00000000;-16340.00000000
2018/01/04:19:17:47;16020.00000000;-16360.00000000
2018/01/04:19:17:48;16035.00000000;-16380.00000000
2018/01/04:19:17:49;16050.00000000;-16400.00000000
2018/01/04:19:17:50;16065.00000000;-16420.00000000
2018/01/04:19:17:51;16080.00000000;-16440.00000000
2018/01/04:19:17:52;16095.00000000;-16460.00000000
2018/01/04:19:17:53;16110.00000000;-16480.00000000
2018/01/04:19:17:54;16125.00000000;-16500.00000000
2018/01/04:19:17:55;16140.00000000;-16520.00000000
2018/01/04:19:17:56;16155.00000000;-16540.00000000
2018/01/04:19:17:57;16170.00000000;-16560.00000000
2018/01/04:19:17:58;16185.00000000;-16580.00000000
2018/01/04:19:17:59;16200.00000000;-16600.00000000
2018/01/04:19:18:00;16215.00000000;-16620.00000000
2018/01/04:19:18:01;16230.00000000;-16640.00000000
2018/01/04:19:18:02;16245.00000000;-16660.00000000
2018/01/04:19:18:03;16260.00000000;-16680.00000000
2018/01/04:19:18:04;16275.00000000;-16700.00000000
2018/01/04:19:18:05;16290.00000000;-16720.00000000
2018/01/04:19:18:06;16305.00000000;-16740.00000000
2018/01/04:19:18:07;16320.00000000;-16760.00000000
2018/01/04:19:18:08;16335.00000000;-16780.00000000
2018/01/04:19:18:09;16350.00000000;-16800.00000000
2018/01/04:19:18:10;16365.00000000;-16820.00000000
2018/01/04:19:18:11;16380.00000000;-16840.00000000
2018/01/04:19:18:12;16395.00000000;-16860.00000000
2018/01/04:19:18:13;16410.00000000;-16880.00000000
2018/01/04:19:18:14;16425.00000000;-16900.00000000
2018/01/04:19:18:15;16440.00000000;-16920.00000000
2018/01/04:19:18:16;16455.00000000;-16940.00000000
2018/01/04:19:18:17;16470.00000000;-16960.00000000
2018/01/04:19:18:18;16485.00000000;-16980.00000000
2018/01/04:19:18:19;16500.00000000;-17000.00000000
2018/01/04:19:18:20;16515.00000000;-17020.00000000
2018/01/04:19:18:21;16530.00000000;-17040.00000000
2018/01/04:19:18:22;16545.00000000;-17060.00000000
2018/01/04:19:18:23;16560.00000000;-17080.00000000
2018/01/04:19:18:24;16575.00000000;-17100.00000000
2018/01/04:19:18:25;16590.00000000;-17120.00000000
2018/01/04:19:18:26;16605.00000000;-17140.00000000
2018/01/04:19:18:27;16620.00000000;-17160.00000000
2018/01/04:19:18:28;16635.00000000;-17180.00000000
2018/01/04:19:18:29;16650.00000000;-17200.00000000
2018/01/04:19:18:30;16665.00000000;-17220.00000000
2018/01/04:19:18:31;16680.00000000;-17240.00000000
2018/01/04:19:18:32;16695.00000000;-17260.00000000
2018/01/04:19:18:33;16710.00000000;-17280.00000000
2018/01/04:19:18:34;16725.00000000;-17300.00000000
2018/01/04:19:18:35;16740.00000000;-17320.00000000
2018/01/04:19:18:36;16755.00000000;-17340.00000000
2018/01/04:19:18:37;16770.00000000;-17360.00000000
2018/01/04:19:18:38;16785.00000000;-17380.00000000
2018/01/04:19:18:39;16800.00000000;-17400.00000000
2018/01/04:19:18:40;16815.00000000;-17420.00000000
2018/01/04:19:18:41;16830.00000000;-17440.00000000
2018/01/04:19:18:42;16845.00000000;-17460.00000000
2018/01/04:19:18:43;16860.00000000;-17480.00000000
2018/01/04:19:18:44;16875.00000000;-17500.00000000
2018/01/04:19:18:45;16890.00000000;-17520.00000000
2018/01/04:19:18:46;16905.00000000;-17540.00000000
2018/01/04:19:18:47;16920.00000000;-17560.00000000
2018/01/04:19:18:48;16935.00000000;-17580.00000000
2018/01/04:19:18:49;16950.00000000;-17600.00000000
2018/01/04:19:18:50;16965.00000000;-17620.00000000
2018/01/04:19:18:51;16980.00000000;-17640.00000000
2018/01/04:19:18:52;16995.00000000;-17660.00000000
2018/01/04:19:18:53;17010.00000000;-17680.00000000
2018/01/04:19:18:54;17025.00000000;-17700.00000000
2018/01/04:19:18:55;17040.00000000;-17720.00000000
2018/01/04:19:18:56;17055.00000000;-17740.00000000
2018/01/04:19:18:57;17070.00000000;-17760.00000000
2018/01/04:19:18:58;17085.00000000;-17780.00000000
2018/01/04:19:18:59;17100.00000000;-17800.00000000
2018/01/04:19:19:00;17115.00000000;-17820.00000000
2018/01/04:19:19:01;17130.00000000;-17840.00000000
2018/01/04:19:19:02;17145.00000000;-17860.00000000
2018/01/04:19:19:03;17160.00000000;-17880.00000000
2018/01/04:19:19:04;17175.00000000;-17900.00000000
2018/01/04:19:19:05;17190.00000000;-17920.00000000
2018/01/04:19:19:06;17205.00000000;-17940.00000000
2018/01/04:19:19:07;17220.00000000;-17960.00000000
2018/01/04:19:19:08;17235.00000000;-17980.00000000
2018/01/04:19:19:09;17250.00000000;-18000.00000000
2018/01/04:19:19:10;17265.00000000;-18020.00000000
2018/01/04:19:19:11;17280.00000000;-18040.00000000
2018/01/04:19:19:12;17295.00000000;-18060.00000000
2018/01/04:19:19:13;17310.00000000;-18080.00000000
2018/01/04:19:19:14;17325.00000000;-18100.00000000
2018/01/04:19:19:15;17340.00000000;-18120.00000000
2018/01/04:19:19:16;17355.00000000;-18140.00000000
2018/01/04:19:19:17;17370.00000000;-18160.00000000
2018/01/04:19:19:18;17385.00000000;-18180.00000000
2018/01/04:19:19:19;17400.00000000;-18200.00000000
2018/01/04:19:19:20;17415.00000000;-18220.00000000
2018/01/04:19:19:21;17430.00000000;-18240.00000000
2018/01/04:19:19:22;17445.00000000;-18260.00000000
2018/01/04:19:19:23;17460.00000000;-18280.00000000
2018/01/04:19:19:24;17475.00000000;-18300.00000000
2018/01/04:19:19:25;17490.00000000;-18320.00000000
2018/01/04:19:19:26;17505.00000000;-18340.00000000
2018/01/04:19:19:27;17520.00000000;-18360.00000000
2018/01/04:19:19:28;17535.00000000;-18380.00000000
2018/01/04:19:19:29;17550.00000000;-18400.00000000
2018/01/04:19:19:30;17565.00000000;-18420.00000000
2018/01/04:19:19:31;17580.00000000;-18440.00000000
2018/01/04:19:19:32;17595.00000000;-18460.00000000
2018/01/04:19:19:33;17610.00000000;-18480.00000000
2018/01/04:19:19:34;17625.00000000;-18500.00000000
2018/01/04:19:19:35;17640.00000000;-18520.00000000
2018/01/04:19:19:36;17655.00000000;-18540.00000000
2018/01/04:19:19:37;17670.00000000;-18560.00000000
2018/01/04:19:19:38;17685.00000000;-18580.00000000
2018/01/04:19:19:39;17700.00000000;-18600.00000000
2018/01/04:19:19:40;17715.00000000;-18620.00000000
2018/01/04:19:19:41;17730.00000000;-18640.00000000
2018/01/04:19:19:42;17745.00000000;-18660.00000000
2018/01/04:19:19:43;17760.00000000;-18680.00000000
2018/01/04:19:19:44;17775.00000000;-18700.00000000
2018/01/04:19:19:45;17790.00000000;-18720.00000000
2018/01/04:19:19:46;17805.00000000;-18740.00000000
2018/01/04:19:19:47;17820.00000000;-18760.00000000
2018/01/04:19:19:48;17835.00000000;-18780.00000000
2018/01/04:19:19:49;17850.00000000;-18800.00000000
2018/01/04:19:19:50;17865.00000000;-18820.00000000
2018/01/04:19:19:51;17880.00000000;-18840.00000000
2018/01/04:19:19:52;17895.00000000;-18860.00000000
2018/01/04:19:19:53;17910.00000000;-18880.00000000
2018/01/04:19:19:54;17925.00000000;-18900.00000000
2018/01/04:19:19:55;17940.00000000;-18920.00000000
2018/01/04:19:19:56;17955.00000000;-18940.00000000
2018/01/04:19:19:57;17970.00000000;-18960.00000000
2018/01/04:19:19:58;17985.00000000;-18980.00000000
2018/01/04:19:19:59;18000.00000000;-19000.00000000
